Course Name,,Difficulty Level,Course Rating,Course URL,,Skills,Description
Empowering with web3.js: Web3 Applications,,Advanced,4.14,https://www.coursera.org/learn/empowering-with-web3js-web3-applications,,programming,"Comprehensive advanced course designed to build Empowering Web expertise through practical, hands-on learning."
Attention Mechanism - 繁體中文,,Intermediate,4.9,https://www.coursera.org/learn/attention-mechanism-zhtw,,General,"Cutting-edge course exploring the latest trends and techniques in Attention Mechanism, tailored for intermediate learners."
Gemini in Google Slides - 繁體中文,,Advanced,3.95,https://www.coursera.org/learn/gemini-in-google-slides-zhtw,,General,Professional-level curriculum that takes you from advanced to advanced proficiency in Gemini Google.
Get Up and Running with TypeScript,,Advanced,4.93,https://www.coursera.org/projects/typescript-beginner,,programming,Structured learning path combining theoretical knowledge and practical skills in Get Up.
Web Development with Angular 16: Enhance an existing website,,Intermediate,3.6,https://www.coursera.org/projects/web-development-angular-16-enhance-existing-website,,"web_development, programming","Comprehensive intermediate course designed to build Web Development expertise through practical, hands-on learning."
JavaScript Deep Dive,,Intermediate,3.66,https://www.coursera.org/learn/javascript-deep-dive,,programming,"Comprehensive intermediate course designed to build Java Script expertise through practical, hands-on learning."
Advanced Angular Topics,,Intermediate,3.63,https://www.coursera.org/learn/advanced-angular-topics,,"web_development, programming",Professional-level curriculum that takes you from intermediate to advanced proficiency in Advanced Angular.
AWS Elemental Live Foundations,,Beginner,4.76,https://www.coursera.org/learn/aws-elemental-live-foundations,,cloud_and_devops,"Cutting-edge course exploring the latest trends and techniques in Elemental Live, tailored for beginner learners."
Object Localization with TensorFlow,,Intermediate,4.64,https://www.coursera.org/projects/object-localization-tensorflow,,programming,"Cutting-edge course exploring the latest trends and techniques in Object Localization, tailored for intermediate learners."
Make a Bill Splitter App with AngularJS,,Beginner,4.11,https://www.coursera.org/projects/bill-splitter-angularjs,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Make Bill.
Advanced Angular Development,,Beginner,4.88,https://www.coursera.org/learn/advanced-angular-development,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Advanced Angular.
Decentralized Application (DApp) Development,,Beginner,4.31,https://www.coursera.org/learn/ethereum-development-bootcamp,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Decentralized Application.
Build Your Portfolio Website with Angular JS,,Intermediate,4.54,https://www.coursera.org/projects/build-your-portfolio-website-angular-js,,"web_development, programming, design",In-depth training program covering essential Build Your skills with a focus on real-world applications.
React Native,,Intermediate,3.67,https://www.coursera.org/learn/react-native-course,,"web_development, programming",In-depth training program covering essential React Native skills with a focus on real-world applications.
Theory of Angular Momentum,,Intermediate,4.98,https://www.coursera.org/learn/theory-of-angular-momentum,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Theory Angular.
Multimodal Retrieval Augmented Generation (RAG) using the Vertex AI Gemini API,,Intermediate,3.53,https://www.coursera.org/projects/googlecloud-multimodal-retrieval-augmented-generation-rag-using-the-vertex-qha5g,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Multimodal Retrieval.
Desarrollo de páginas con Angular,,Beginner,3.7,https://www.coursera.org/learn/desarrollar-paginas-web-con-angular,,"web_development, programming","Cutting-edge course exploring the latest trends and techniques in Desarrollo Angular, tailored for beginner learners."
GenAI for Front-End Developers,,Beginner,3.85,https://www.coursera.org/learn/genai-for-front-end-developers,,programming,In-depth training program covering essential Gen Front skills with a focus on real-world applications.
Full Stack Web Development,,Beginner,3.66,https://www.coursera.org/learn/fullstack-web-development,,web_development,"Comprehensive beginner course designed to build Full Stack expertise through practical, hands-on learning."
Asynchronous Programming in JavaScript - Complete Course,,Advanced,4.51,https://www.coursera.org/learn/packt-asynchronous-programming-in-javascript-complete-course-enzqd,,programming,Professional-level curriculum that takes you from advanced to advanced proficiency in Asynchronous Programming.
Getting Started with Angular,,Beginner,4.83,https://www.coursera.org/learn/getting-started-with-angular,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Getting Started.
Crea una aplicación web con Vue.js,,Beginner,3.98,https://www.coursera.org/projects/crea-una-aplicacion-web-con-vue-js,,"web_development, programming",In-depth training program covering essential Crea Vue skills with a focus on real-world applications.
Developing Back-End Apps with Node.js and Express,,Advanced,4.43,https://www.coursera.org/learn/developing-backend-apps-with-nodejs-and-express,,programming,In-depth training program covering essential Developing Back skills with a focus on real-world applications.
JavaScript Security,,Intermediate,3.96,https://www.coursera.org/specializations/javascript-security,,programming,In-depth training program covering essential Java Script skills with a focus on real-world applications.
Learn JavaScript,,Advanced,3.83,https://www.coursera.org/learn/learn-javascript,,programming,Professional-level curriculum that takes you from advanced to advanced proficiency in Learn Java.
JavaScript Security Refreshers,,Intermediate,3.65,https://www.coursera.org/learn/javascript-security-refreshers,,programming,In-depth training program covering essential Java Script skills with a focus on real-world applications.
Programming with JavaScript,,Intermediate,4.61,https://www.coursera.org/learn/programming-with-javascript,,programming,"Cutting-edge course exploring the latest trends and techniques in Programming Java, tailored for intermediate learners."
Interactivity with JavaScript,,Intermediate,4.12,https://www.coursera.org/learn/javascript,,programming,"Comprehensive intermediate course designed to build Interactivity Java expertise through practical, hands-on learning."
Learn About JSON with JavaScript,,Advanced,4.04,https://www.coursera.org/projects/json-javascript,,programming,"Cutting-edge course exploring the latest trends and techniques in Learn About, tailored for advanced learners."
IBM Full-Stack JavaScript Developer,,Beginner,4.81,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,,programming,In-depth training program covering essential Full Stack skills with a focus on real-world applications.
JavaScript Programming Essentials,,Intermediate,4.29,https://www.coursera.org/learn/javascript-programming-essentials,,programming,Structured learning path combining theoretical knowledge and practical skills in Java Script.
"JavaScript Programming with React, Node & MongoDB",,Beginner,3.64,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,,"web_development, programming",In-depth training program covering essential Java Script skills with a focus on real-world applications.
Developing Front-End Apps with React,,Beginner,4.92,https://www.coursera.org/learn/developing-frontend-apps-with-react,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Developing Front.
Fundamentals of VueJS,,Beginner,4.04,https://www.coursera.org/learn/fundamentals-of-vuejs,,web_development,"Comprehensive beginner course designed to build Fundamentals Vue expertise through practical, hands-on learning."
Mobile Development and JavaScript,,Beginner,4.12,https://www.coursera.org/learn/mobile-development-and-javascript,,programming,Structured learning path combining theoretical knowledge and practical skills in Mobile Development.
Frontend for Java Full Stack Development,,Beginner,4.82,https://www.coursera.org/learn/frontend-development-for-java-full-stack,,"web_development, programming","Cutting-edge course exploring the latest trends and techniques in Frontend Java, tailored for beginner learners."
JavaScript Basics,,Beginner,4.04,https://www.coursera.org/learn/javascript-basics,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Java Script.
Single Page Web Applications with AngularJS,,Intermediate,4.46,https://www.coursera.org/learn/single-page-web-apps-with-angularjs,,"web_development, programming","Comprehensive intermediate course designed to build Single Page expertise through practical, hands-on learning."
Learn React,,Intermediate,4.34,https://www.coursera.org/learn/learn-react,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Learn React.
"JavaScript, jQuery, and JSON",,Beginner,4.16,https://www.coursera.org/learn/javascript-jquery-json,,programming,"Comprehensive beginner course designed to build Java Script expertise through practical, hands-on learning."
Introduction to VueJS Framework,,Beginner,3.7,https://www.coursera.org/learn/codio-introduction-to-vuejs-framework,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Introduction Vue.
Introduction to Meteor.js Development,,Beginner,4.09,https://www.coursera.org/learn/meteor-development,,programming,In-depth training program covering essential Introduction Meteor skills with a focus on real-world applications.
Build a TypeScript Project,,Beginner,4.03,https://www.coursera.org/learn/learn-typescript-,,"programming, design",Structured learning path combining theoretical knowledge and practical skills in Build Type.
"Build Website with HTML, JavaScript, AngularJS, and React",,Beginner,4.43,https://www.coursera.org/specializations/build-dynamic-website,,"web_development, programming, design","Cutting-edge course exploring the latest trends and techniques in Build Website, tailored for beginner learners."
Programación con JavaScript,,Intermediate,4.27,https://www.coursera.org/learn/programming-with-javascript-es,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Programaci Java.
NodeJS Unleashed: Mastering Backend Development,,Beginner,4.91,https://www.coursera.org/learn/nodejs-unleashed-mastering-backend-development,,"web_development, programming",In-depth training program covering essential Node Unleashed skills with a focus on real-world applications.
Angular for Front End Engineers,,Beginner,3.91,https://www.coursera.org/learn/codio-angular-for-front-end-engineers,,"web_development, programming",In-depth training program covering essential Angular Front skills with a focus on real-world applications.
Secure Full Stack MEAN Developer,,Beginner,4.53,https://www.coursera.org/learn/secure-full-stack-mean-developer,,"web_development, programming",In-depth training program covering essential Secure Full skills with a focus on real-world applications.
Introduction to Javascript: The Basics,,Beginner,4.04,https://www.coursera.org/projects/intro-to-javascript-the-basics,,programming,Structured learning path combining theoretical knowledge and practical skills in Introduction Javascript.
Introduction to Next.js,,Beginner,4.51,https://www.coursera.org/learn/introduction-to-next-js,,programming,In-depth training program covering essential Introduction Next skills with a focus on real-world applications.
Web Development with Python,,Intermediate,3.51,https://www.coursera.org/learn/microsoft-web-development-with-python,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Web Development.
Introduction to JavaScript,,Beginner,4.17,https://www.coursera.org/projects/introduction-javascript,,programming,Structured learning path combining theoretical knowledge and practical skills in Introduction Java.
Server side JavaScript with Node.js,,Intermediate,3.92,https://www.coursera.org/learn/server-side-javascript-with-nodejs,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Server Java.
RESTful Microservices Using Node.js and Express,,Beginner,3.52,https://www.coursera.org/specializations/restful-microservices-using-node-js-and-express,,programming,"Cutting-edge course exploring the latest trends and techniques in Tful Microservices, tailored for beginner learners."
Learn Typescript,,Beginner,4.08,https://www.coursera.org/learn/learn-typescript,,programming,In-depth training program covering essential Learn Typescript skills with a focus on real-world applications.
Empowering with web3.js: Web3 Applications,,Beginner,4.92,https://www.coursera.org/learn/empowering-with-web3js-web3-applications,,programming,In-depth training program covering essential Empowering Web skills with a focus on real-world applications.
JavaScript Deep Dive,,Beginner,4.68,https://www.coursera.org/learn/javascript-deep-dive,,programming,Structured learning path combining theoretical knowledge and practical skills in Java Script.
Advanced Django: Mastering Django and Django Rest Framework,,Beginner,4.52,https://www.coursera.org/specializations/codio-advanced-django-and-django-rest-framework,,"web_development, programming","Comprehensive beginner course designed to build Advanced Django expertise through practical, hands-on learning."
Django for Everybody,,Beginner,4.16,https://www.coursera.org/specializations/django,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Django Everybody.
Django Web Framework,,Intermediate,4.32,https://www.coursera.org/learn/django-web-framework,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Django Web.
Django Application Development with SQL and Databases,,Intermediate,3.65,https://www.coursera.org/learn/developing-applications-with-sql-databases-and-django,,web_development,"Comprehensive intermediate course designed to build Django Application expertise through practical, hands-on learning."
Web Application Technologies and Django,,Beginner,4.05,https://www.coursera.org/learn/django-database-web-apps,,web_development,Professional-level curriculum that takes you from beginner to advanced proficiency in Web Application.
Building Web Applications in Django,,Intermediate,4.41,https://www.coursera.org/learn/django-build-web-apps,,"web_development, design",Structured learning path combining theoretical knowledge and practical skills in Building Web.
Build an expense tracker app in Django,,Advanced,3.53,https://www.coursera.org/projects/showcase-build-expense-tracker-app-django,,"web_development, programming, design",In-depth training program covering essential Build Django skills with a focus on real-world applications.
Build a user login system for a Django website,,Intermediate,4.66,https://www.coursera.org/projects/showcase-build-user-login-system-django-website,,"web_development, programming, design",Structured learning path combining theoretical knowledge and practical skills in Build Django.
Full Stack Software Developer Assessment,,Advanced,4.06,https://www.coursera.org/learn/full-stack-software-developer-assessment,,"web_development, programming",In-depth training program covering essential Full Stack skills with a focus on real-world applications.
Introduction to Flask framework,,Beginner,3.9,https://www.coursera.org/projects/introduction-to-flask-framework,,"web_development, programming",In-depth training program covering essential Introduction Flask skills with a focus on real-world applications.
IBM Full Stack Software Developer,,Intermediate,3.7,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Full Stack.
Meta Back-End Developer,,Beginner,3.56,https://www.coursera.org/professional-certificates/meta-back-end-developer,,programming,"Cutting-edge course exploring the latest trends and techniques in Meta Back, tailored for beginner learners."
RPA Basics and Introduction to UiPath,,Beginner,4.28,https://www.coursera.org/learn/rpa-basics-and-introduction-to-uipath,,"programming, design",Structured learning path combining theoretical knowledge and practical skills in Basics Introduction.
Advanced Django: Building a Blog,,Intermediate,4.96,https://www.coursera.org/learn/codio-advanced-django-building-blog,,"web_development, design","Comprehensive intermediate course designed to build Advanced Django expertise through practical, hands-on learning."
Web Development with Python,,Intermediate,3.72,https://www.coursera.org/learn/microsoft-web-development-with-python,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Web Development.
Advanced Django: Introduction to Django Rest Framework,,Beginner,3.81,https://www.coursera.org/learn/codio-advanced-django-intro-drf,,"web_development, programming",In-depth training program covering essential Advanced Django skills with a focus on real-world applications.
Juniper Networks Automation Using Python and PyEZ,,Beginner,4.38,https://www.coursera.org/learn/juniper-automation-python-pyez,,programming,"Comprehensive beginner course designed to build Juniper Networks expertise through practical, hands-on learning."
Control Flow in RPA,,Intermediate,4.85,https://www.coursera.org/learn/control-flow-in-rpa,,programming,"Cutting-edge course exploring the latest trends and techniques in Control Flow, tailored for intermediate learners."
APIs,,Advanced,4.46,https://www.coursera.org/learn/apis,,General,"Cutting-edge course exploring the latest trends and techniques in Is, tailored for advanced learners."
Marco web Django,,Intermediate,4.67,https://www.coursera.org/learn/django-web-framework-es,,"web_development, programming","Comprehensive intermediate course designed to build Marco Django expertise through practical, hands-on learning."
VFX with Adobe After Effects from Novice to Expert,,Advanced,4.03,https://www.coursera.org/learn/vfx-with-adobe-after-effects-from-novice-to-expert,,programming,"Comprehensive advanced course designed to build Adobe After expertise through practical, hands-on learning."
Advanced Django: Advanced Django Rest Framework,,Beginner,3.78,https://www.coursera.org/learn/codio-advanced-django-advanced-drf,,"web_development, programming","Comprehensive beginner course designed to build Advanced Django expertise through practical, hands-on learning."
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,,Beginner,3.76,https://www.coursera.org/learn/3d-modeling-rhinoscript,,programming,"Comprehensive beginner course designed to build Design Computing expertise through practical, hands-on learning."
Automating Real-World Tasks with Python,,Advanced,3.51,https://www.coursera.org/learn/automating-real-world-tasks-python,,programming,In-depth training program covering essential Automating Real skills with a focus on real-world applications.
The Full Stack,,Intermediate,3.9,https://www.coursera.org/learn/the-full-stack,,web_development,Professional-level curriculum that takes you from intermediate to advanced proficiency in The Full.
Django (Python) Web Framework - The Comprehensive Guide,,Advanced,4.72,https://www.coursera.org/learn/packt-django-python-web-framework-the-comprehensive-guide-6ba4j,,"web_development, programming, design","Cutting-edge course exploring the latest trends and techniques in Django Python, tailored for advanced learners."
Advanced Django: External APIs and Task Queuing,,Beginner,4,https://www.coursera.org/learn/codio-advanced-django-external-apis-task-queuing,,"web_development, programming, design",Professional-level curriculum that takes you from beginner to advanced proficiency in Advanced Django.
Programming in Python,,Advanced,3.93,https://www.coursera.org/learn/programming-in-python,,programming,"Comprehensive advanced course designed to build Programming Python expertise through practical, hands-on learning."
Database Clients,,Advanced,4.13,https://www.coursera.org/learn/database-clients,,General,Professional-level curriculum that takes you from advanced to advanced proficiency in Database Clients.
Django with Tailwind CSS,,Intermediate,4.96,https://www.coursera.org/learn/packt-django-with-tailwind-css-fhwbx,,web_development,In-depth training program covering essential Django Tailwind skills with a focus on real-world applications.
AI Agents in LangGraph,,Intermediate,4.13,https://www.coursera.org/projects/ai-agents-in-langgraph,,programming,"Cutting-edge course exploring the latest trends and techniques in Agents Lang, tailored for intermediate learners."
IBM Back-End Development,,Advanced,4.92,https://www.coursera.org/professional-certificates/ibm-backend-development,,General,Structured learning path combining theoretical knowledge and practical skills in Back End.
Select Topics in Python: Django,,Intermediate,3.82,https://www.coursera.org/learn/codio-select-topics-python-django,,"web_development, programming",In-depth training program covering essential Select Topics skills with a focus on real-world applications.
Back-End Developer Capstone,,Beginner,4,https://www.coursera.org/learn/back-end-developer-capstone,,programming,In-depth training program covering essential Back End skills with a focus on real-world applications.
Database Engineer Capstone,,Beginner,3.64,https://www.coursera.org/learn/database-engineer-capstone,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Database Engineer.
Create Your First Web App with Python and Flask,,Beginner,3.89,https://www.coursera.org/projects/python-flask,,"web_development, programming","Comprehensive beginner course designed to build Create Your expertise through practical, hands-on learning."
Create Your First Web App with Python and Flask,,Beginner,4,https://www.coursera.org/projects/python-flask,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Create Your.
REST APIs with Flask and Python in 2024,,Intermediate,4.18,https://www.coursera.org/learn/packt-rest-apis-with-flask-and-python-in-2024-i01az,,"web_development, programming",Professional-level curriculum that takes you from intermediate to advanced proficiency in Is Flask.
Introduction to Flask framework,,Beginner,4.33,https://www.coursera.org/projects/introduction-to-flask-framework,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Introduction Flask.
Flask for Beginners: Creating an Application,,Intermediate,4.43,https://www.coursera.org/projects/flask-for-beginners-creating-an-application,,"web_development, programming",In-depth training program covering essential Flask Beginners skills with a focus on real-world applications.
Developing AI Applications with Python and Flask,,Intermediate,4.35,https://www.coursera.org/learn/python-project-for-ai-application-development,,"web_development, programming","Comprehensive intermediate course designed to build Developing Applications expertise through practical, hands-on learning."
Introduction to Web Applications,,Beginner,3.69,https://www.coursera.org/learn/akamai-web-apps,,programming,"Comprehensive beginner course designed to build Introduction Web expertise through practical, hands-on learning."
DevOps Capstone Project,,Beginner,4.56,https://www.coursera.org/learn/devops-capstone-project,,programming,In-depth training program covering essential Dev Ops skills with a focus on real-world applications.
Introduction to Docker,,Beginner,3.91,https://www.coursera.org/projects/googlecloud-introduction-to-docker-2zs0k,,"cloud_and_devops, programming","Cutting-edge course exploring the latest trends and techniques in Introduction Docker, tailored for beginner learners."
Cloud SQL for MySQL: Qwik Start,,Beginner,3.7,https://www.coursera.org/projects/googlecloud-cloud-sql-for-mysql-qwik-start-etqlf,,programming,Structured learning path combining theoretical knowledge and practical skills in Cloud My.
Microsoft Python Development,,Beginner,4.55,https://www.coursera.org/professional-certificates/microsoft-python-developer,,programming,"Comprehensive beginner course designed to build Microsoft Python expertise through practical, hands-on learning."
Introduction to APIs in Google,,Beginner,4.13,https://www.coursera.org/projects/googlecloud-introduction-to-apis-in-google-ouacp,,programming,"Comprehensive beginner course designed to build Introduction Is expertise through practical, hands-on learning."
Web Development with Python,,Advanced,4.29,https://www.coursera.org/learn/microsoft-web-development-with-python,,programming,In-depth training program covering essential Web Development skills with a focus on real-world applications.
Application Development using Microservices and Serverless,,Beginner,4.46,https://www.coursera.org/learn/applications-development-microservices-serverless-openshift,,programming,Structured learning path combining theoretical knowledge and practical skills in Application Development.
Cloud Storage: Qwik Start - Cloud Console,,Beginner,4.01,https://www.coursera.org/projects/googlecloud-cloud-storage-qwik-start-cloud-console-s8hyv,,programming,Structured learning path combining theoretical knowledge and practical skills in Cloud Storage.
Log Analytics on Google Cloud,,Advanced,4.35,https://www.coursera.org/projects/googlecloud-log-analytics-on-google-cloud-bsco7,,cloud_and_devops,Professional-level curriculum that takes you from advanced to advanced proficiency in Log Analytics.
Cloud Storage: Qwik Start - CLI/SDK,,Advanced,3.91,https://www.coursera.org/projects/googlecloud-cloud-storage-qwik-start-cli-sdk-2t15d,,programming,"Comprehensive advanced course designed to build Cloud Storage expertise through practical, hands-on learning."
App Engine: Qwik Start - Java,,Intermediate,4.28,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-java-jp6zm,,programming,Structured learning path combining theoretical knowledge and practical skills in App Engine.
Fundamentals of Cloud Logging,,Beginner,4.08,https://www.coursera.org/projects/googlecloud-fundamentals-of-cloud-logging-ekzu3,,General,Structured learning path combining theoretical knowledge and practical skills in Fundamentals Cloud.
Automating Real-World Tasks with Python,,Intermediate,4.7,https://www.coursera.org/learn/automating-real-world-tasks-python,,programming,In-depth training program covering essential Automating Real skills with a focus on real-world applications.
Google Sheets en Español,,Intermediate,3.74,https://www.coursera.org/learn/google-sheets-es,,General,"Comprehensive intermediate course designed to build Google Sheets expertise through practical, hands-on learning."
App Engine: Qwik Start - Go,,Beginner,4.01,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-go-cj2pu,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in App Engine.
App Engine: Qwik Start - PHP,,Intermediate,4.39,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-php-clhcd,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in App Engine.
Debugging Apps on Google Kubernetes Engine,,Beginner,4.04,https://www.coursera.org/projects/googlecloud-debugging-apps-on-google-kubernetes-engine-8pzmb,,"cloud_and_devops, programming",Structured learning path combining theoretical knowledge and practical skills in Debugging Apps.
Datastore: Qwik Start,,Intermediate,4.81,https://www.coursera.org/projects/googlecloud-datastore-qwik-start-mjbwh,,programming,In-depth training program covering essential Datastore Qwik skills with a focus on real-world applications.
APIs Explorer: Cloud SQL,,Intermediate,4.95,https://www.coursera.org/projects/googlecloud-apis-explorer-cloud-sql-pv6ts,,programming,"Comprehensive intermediate course designed to build Is Explorer expertise through practical, hands-on learning."
APIs Explorer: Cloud Storage,,Intermediate,4.02,https://www.coursera.org/projects/googlecloud-apis-explorer-cloud-storage-vyl1r,,programming,"Cutting-edge course exploring the latest trends and techniques in Is Explorer, tailored for intermediate learners."
Build a Serverless Web App with Firebase,,Beginner,3.68,https://www.coursera.org/projects/googlecloud-build-a-serverless-web-app-with-firebase-pxs2b,,"programming, design",In-depth training program covering essential Build Serverless skills with a focus on real-world applications.
Loading Data into Google Cloud SQL,,Intermediate,4.23,https://www.coursera.org/projects/googlecloud-loading-data-into-google-cloud-sql-jyxvs,,cloud_and_devops,Structured learning path combining theoretical knowledge and practical skills in Loading Data.
Backend Web Development with Go: Build an E-Manual Server,,Beginner,4.79,https://www.coursera.org/projects/backend-web-development-go-e-manual-server,,"web_development, programming, design","Cutting-edge course exploring the latest trends and techniques in Backend Web, tailored for beginner learners."
Splunk Query Language and Data Analysis,,Intermediate,3.84,https://www.coursera.org/learn/splunk-query-language-and-data-analysis,,"data_science, programming","Cutting-edge course exploring the latest trends and techniques in Splunk Query, tailored for intermediate learners."
AlloyDB - Database Fundamentals,,Beginner,4.46,https://www.coursera.org/projects/googlecloud-alloydb-database-fundamentals-yhnrd,,General,"Comprehensive beginner course designed to build Alloy Database expertise through practical, hands-on learning."
Developing Applications with Cloud Run Functions on Google Cloud,,Intermediate,4.91,https://www.coursera.org/learn/developing-applications-with-cloud-functions-on-google-cloud,,"cloud_and_devops, programming",Professional-level curriculum that takes you from intermediate to advanced proficiency in Developing Applications.
App Engine: Qwik Start - Python,,Advanced,4.74,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-python-gtsbd,,programming,"Cutting-edge course exploring the latest trends and techniques in App Engine, tailored for advanced learners."
"Authentication, Authorization, and Identity with Vault",,Advanced,3.96,https://www.coursera.org/projects/googlecloud-authentication-authorization-and-identity-with-vault-nv0md,,programming,Structured learning path combining theoretical knowledge and practical skills in Authentication Authorization.
Eventarc for Cloud Run,,Advanced,3.68,https://www.coursera.org/projects/googlecloud-eventarc-for-cloud-run-rupds,,programming,Structured learning path combining theoretical knowledge and practical skills in Eventarc Cloud.
Working with Onscreen Data in a Flutter Application,,Intermediate,4.96,https://www.coursera.org/projects/googlecloud-working-with-onscreen-data-in-a-flutter-application-jtyou,,programming,Structured learning path combining theoretical knowledge and practical skills in Working Onscreen.
"Python for Data Science, AI & Development",,Beginner,4.12,https://www.coursera.org/learn/python-for-applied-data-science-ai,,programming,In-depth training program covering essential Python Data skills with a focus on real-world applications.
Introduction to Artificial Intelligence (AI),,Beginner,4.69,https://www.coursera.org/learn/introduction-to-ai,,"ai_and_ml, programming",Structured learning path combining theoretical knowledge and practical skills in Introduction Artificial.
Microsoft Copilot for Data Science,,Intermediate,4.46,https://www.coursera.org/specializations/microsoft-copilot-for-data-science,,programming,In-depth training program covering essential Microsoft Copilot skills with a focus on real-world applications.
Microsoft AI & ML Engineering,,Beginner,3.89,https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering,,programming,Structured learning path combining theoretical knowledge and practical skills in Microsoft Engineering.
Google AI Essentials,,Beginner,4.41,https://www.coursera.org/learn/google-ai-essentials,,General,Professional-level curriculum that takes you from beginner to advanced proficiency in Google Essentials.
Machine Learning,,Intermediate,3.86,https://www.coursera.org/specializations/machine-learning-introduction,,"data_science, programming",Professional-level curriculum that takes you from intermediate to advanced proficiency in Machine Learning.
Introduction to Generative AI,,Beginner,3.81,https://www.coursera.org/learn/introduction-to-generative-ai,,"ai_and_ml, programming","Cutting-edge course exploring the latest trends and techniques in Introduction Generative, tailored for beginner learners."
Generative AI for Everyone,,Beginner,4.57,https://www.coursera.org/learn/generative-ai-for-everyone,,"ai_and_ml, programming",Structured learning path combining theoretical knowledge and practical skills in Generative Everyone.
Machine Learning with Python,,Intermediate,4.31,https://www.coursera.org/learn/machine-learning-with-python,,"data_science, programming",In-depth training program covering essential Machine Learning skills with a focus on real-world applications.
Fundamentals of Machine Learning and Artificial Intelligence,,Beginner,4.43,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,,"data_science, programming, ai_and_ml",In-depth training program covering essential Fundamentals Machine skills with a focus on real-world applications.
How Google does Machine Learning,,Beginner,4.2,https://www.coursera.org/learn/google-machine-learning,,"data_science, programming",Structured learning path combining theoretical knowledge and practical skills in How Google.
Launching into Machine Learning,,Intermediate,3.76,https://www.coursera.org/learn/launching-machine-learning,,"data_science, programming",Professional-level curriculum that takes you from intermediate to advanced proficiency in Launching Machine.
Planning a Machine Learning Project,,Beginner,4.05,https://www.coursera.org/learn/planning-a-machine-learning-project,,"data_science, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Planning Machine.
Machine Learning in Production,,Intermediate,4.88,https://www.coursera.org/learn/introduction-to-machine-learning-in-production,,"data_science, programming",Professional-level curriculum that takes you from intermediate to advanced proficiency in Machine Learning.
AI For Everyone,,Beginner,4.79,https://www.coursera.org/learn/ai-for-everyone,,programming,Structured learning path combining theoretical knowledge and practical skills in For Everyone.
Microsoft Azure Machine Learning,,Beginner,4.5,https://www.coursera.org/learn/microsoft-azure-machine-learning,,"data_science, cloud_and_devops, programming",Structured learning path combining theoretical knowledge and practical skills in Microsoft Azure.
Microsoft Azure Machine Learning for Data Scientists,,Beginner,3.58,https://www.coursera.org/learn/microsoft-azure-machine-learning-for-data-scientist,,"data_science, cloud_and_devops, programming","Comprehensive beginner course designed to build Microsoft Azure expertise through practical, hands-on learning."
Exploratory Data Analysis for Machine Learning,,Beginner,4.64,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,,"data_science, programming",Structured learning path combining theoretical knowledge and practical skills in Exploratory Data.
Introduction to Machine Learning,,Beginner,3.64,https://www.coursera.org/learn/machine-learning-duke,,"data_science, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Introduction Machine.
Developing Machine Learning Solutions,,Beginner,4.27,https://www.coursera.org/learn/developing-machine-learning-solutions,,"data_science, programming",Structured learning path combining theoretical knowledge and practical skills in Developing Machine.
Build and Operate Machine Learning Solutions with Azure,,Beginner,3.68,https://www.coursera.org/learn/build-and-operate-machine-learning-solutions-with-azure,,"data_science, cloud_and_devops, programming, design","Comprehensive beginner course designed to build Build Operate expertise through practical, hands-on learning."
